ISO;ZIP;SQUARE_KM;pop_sum
KR;47100;1,309;1780
KR;47101;1,364;964
KR;47102;0,103;1471
KR;47103;0,06;934
KR;47104;0,054;1115
KR;47105;1,531;1491
KR;47106;0,206;890
KR;47107;0,11;1205
KR;47108;0,028;376
KR;47109;0,064;1281
KR;47110;0,15;1962
KR;47111;0,102;1623
KR;47112;0,109;1289
KR;47113;0,225;1345
KR;47114;0,045;539
KR;47115;0,049;904
KR;47116;0,05;924
KR;47117;0,085;912
KR;47118;0,212;1726
KR;47119;0,159;2332
KR;47120;0,1;1458
KR;47121;0,072;1144
KR;47122;0,017;468
KR;47123;0,205;3845
KR;47124;0,081;1294
KR;47125;0,083;1714
KR;47126;0,054;1158
KR;47127;0,062;1271
KR;47128;0,055;883
KR;47129;0,082;1494
KR;47130;0,065;1646
KR;47131;0,042;788
KR;47132;0,047;1266
KR;47133;0,032;606
KR;47134;0,062;1214
KR;47135;0,047;138
KR;47136;0,12;919
KR;47137;0,084;1033
KR;47138;0,059;1010
KR;47139;0,091;1026
KR;47140;0,111;1827
KR;47141;0,055;1330
KR;47142;0,051;1215
KR;47143;0,09;1849
KR;47144;0,053;1231
KR;47145;0,05;878
KR;47146;0,057;1021
KR;47147;0,083;2260
KR;47148;0,548;704
KR;47149;0,459;1285
KR;47150;0,1;529
KR;47151;0,035;465
KR;47152;0,043;736
KR;47153;0,014;213
KR;47154;0,063;1066
KR;47155;0,056;325
KR;47156;0,34;2082
KR;47157;0,034;684
KR;47158;0,049;838
KR;47159;0,045;698
KR;47160;0,027;458
KR;47161;0,168;3296
KR;47162;0,011;250
KR;47163;1,662;2185
KR;47164;0,085;1238
KR;47165;0,069;1030
KR;47166;0,328;427
KR;47167;0,504;1354
KR;47168;0,041;456
KR;47169;0,14;2537
KR;47170;0,106;2166
KR;47171;0,111;2292
KR;47172;0,074;1443
KR;47173;0,08;1331
KR;47174;0,04;593
KR;47175;0,115;1115
KR;47176;0,096;2141
KR;47177;0,063;1253
KR;47178;0,061;1253
KR;47179;0,074;1578
KR;47180;0,07;1665
KR;47181;0,066;1134
KR;47182;0,062;1410
KR;47183;0,026;412
KR;47184;0,006;138
KR;47185;0,071;1393
KR;47186;0,017;298
KR;47187;0,048;1104
KR;47188;0,074;1380
KR;47189;0,05;1162
KR;47190;0,059;1382
KR;47191;0,053;1182
KR;47192;0,062;970
KR;47193;0,103;2064
KR;47194;0,055;1265
KR;47195;0,042;734
KR;47196;0,193;4085
KR;47197;0,042;1089
KR;47198;0,051;959
KR;47199;0,059;1492
KR;47200;0,077;1522
KR;47201;0,019;432
KR;47202;0,045;1053
KR;47203;0,098;1953
KR;47204;0,119;2244
KR;47205;0,077;1369
KR;47206;0,023;374
KR;47207;0,099;1964
KR;47208;0,051;759
KR;47209;0,082;1621
KR;47210;0,075;1494
KR;47211;0,063;1268
KR;47212;0,048;926
KR;47213;0,043;1164
KR;47214;0,048;1196
KR;47215;0,017;296
KR;47216;0,05;1173
KR;47217;0,053;1463
KR;47218;0,036;828
KR;47219;0,038;975
KR;47220;0,034;589
KR;47221;0,052;1265
KR;47222;0,037;419
KR;47223;0,064;1008
KR;47224;0,042;626
KR;47225;0,043;1137
KR;47226;0,058;1188
KR;47227;0,292;2274
KR;47228;0,104;1822
KR;47229;0,077;1557
KR;47230;0,304;2676
KR;47231;0,298;1273
KR;47232;0,023;428
KR;47233;0,017;290
KR;47234;0,104;2214
KR;47235;0,046;879
KR;47236;0,082;1718
KR;47237;0,041;659
KR;47238;0,026;515
KR;47239;0,036;438
KR;47240;0,076;1575
KR;47241;0,066;1348
KR;47242;0,019;393
KR;47243;0,046;827
KR;47244;0,017;282
KR;47245;0,02;278
KR;47246;0,025;406
KR;47247;0,039;820
KR;47248;0,1;2114
KR;47249;0,061;1331
KR;47250;0,04;864
KR;47251;0,051;982
KR;47252;0,033;682
KR;47253;0,057;1063
KR;47254;0,037;810
KR;47255;0,025;537
KR;47256;0,048;672
KR;47257;0,063;1356
KR;47258;0,045;554
KR;47259;0,05;1276
KR;47260;0,375;7828
KR;47261;0,096;1779
KR;47262;0,139;3386
KR;47263;0,283;5635
KR;47264;0,051;1122
KR;47265;0,031;571
KR;47266;0,066;1394
KR;47267;0,02;422
KR;47268;0,049;1303
KR;47269;0,038;1000
KR;47270;0,098;2053
KR;47271;0,079;1524
KR;47272;0,055;1185
KR;47273;0,023;614
KR;47274;0,006;149
KR;47275;0,024;468
KR;47276;0,069;1529
KR;47277;0,017;300
KR;47278;0,051;1006
KR;47279;0,134;2633
KR;47280;0,132;2372
KR;47281;0,08;1673
KR;47282;0,025;542
KR;47283;0,03;542
KR;47284;0,057;1119
KR;47285;0,051;1073
KR;47286;0,044;633
KR;47287;0,042;917
KR;47288;0,048;1049
KR;47289;0,054;1275
KR;47290;0,028;664
KR;47291;0,025;649
KR;47292;0,052;915
KR;47293;0,07;1653
KR;47294;0,026;534
KR;47295;0,028;389
KR;47296;0,073;1169
KR;47297;0,07;1622
KR;47298;0,062;1214
KR;47299;0,028;536
KR;47300;0,052;761
KR;47301;0,055;930
KR;47302;0,026;407
KR;47303;0,045;828
KR;47304;0,026;421
KR;47305;0,068;1681
KR;47306;0,07;1384
KR;47307;0,047;944
KR;47308;0,04;932
KR;47309;0,049;819
KR;47310;0,083;1376
KR;47311;0,078;705
KR;47312;0,486;345
KR;47313;0,257;1124
KR;47314;0,047;947
KR;47315;0,047;814
KR;47316;0,029;405
KR;47317;0,028;673
KR;47318;0,027;552
KR;47319;0,058;1413
KR;47320;0,054;1133
KR;47321;0,033;702
KR;47322;0,036;838
KR;47323;0,052;713
KR;47324;0,036;579
KR;47325;0,038;720
KR;47326;0,073;1426
KR;47327;0,038;580
KR;47328;0,061;1145
KR;47329;0,057;1466
KR;47330;0,061;1319
KR;47331;0,032;733
KR;47332;0,036;738
KR;47333;0,079;1255
KR;47334;0,107;1512
KR;47335;0,052;830
KR;47336;0,066;1079
KR;47337;0,054;1509
KR;47338;0,197;1702
KR;47339;0,385;2415
KR;47340;0,187;1344
KR;47341;0,037;552
KR;47342;0,068;1483
KR;47343;0,072;1603
KR;47344;0,055;990
KR;47345;0,231;1888
KR;47346;0,099;1154
KR;47347;0,098;1281
KR;47348;0,067;1060
KR;47349;0,04;651
KR;47350;0,048;920
KR;47351;0,068;1288
KR;47352;0,027;522
KR;47353;0,096;1382
KR;47354;0,046;879
KR;47355;0,03;609
KR;47356;0,024;376
KR;47357;0,019;378
KR;47358;0,018;522
KR;47359;0,048;910
KR;47360;0,015;529
KR;47361;0,025;251
KR;47362;0,022;242
KR;47363;0,018;241
KR;47364;0,014;243
KR;47365;0,027;508
KR;47366;0,044;973
KR;47367;0,042;794
KR;47368;0,097;1779
KR;47369;0,067;1348
KR;47370;0,044;531
KR;47371;0,012;264
KR;47372;0,036;672
KR;47373;0,053;1056
KR;47374;0,105;767
KR;47375;0,07;412
KR;47376;0,108;1592
KR;47377;0,021;257
KR;47378;0,044;856
KR;47379;0,021;552
KR;47380;0,02;415
KR;47381;0,035;1076
KR;47382;0,056;1042
KR;47383;0,034;840
KR;47384;0,078;1197
KR;47385;0,055;1193
KR;47386;0,02;419
KR;47387;0,06;845
KR;47388;0,063;1082
KR;47389;0,113;1805
KR;47390;1,114;2761
KR;47391;0,001;24
KR;47392;0,029;427
KR;47393;0,044;1014
KR;47394;0,038;708
KR;47395;0,181;1357
KR;47396;0,022;288
KR;47397;0,461;1589
KR;47398;0,002;50
KR;47536;0,029;782
