"zip";"individuals";"total_income";"average_income"
"33063";49580;1363807;27.507200484066157
"34748";37200;1159532;31.170215053763442
"32003";27600;1360893;49.30771739130435
"32008";4680;121040;25.863247863247864
"32009";3150;108588;34.47238095238095
"32011";15090;488828;32.394168323392975
"32024";17310;478432;27.639052570768342
"32025";15990;388015;24.266103814884303
"32033";4490;152504;33.965256124721606
"32034";36540;2859447;78.25525451559935
"32038";8570;213498;24.912252042007
"32040";7740;237806;30.724289405684754
"32043";35270;1463339;41.489622908987805
"32044";1480;35860;24.22972972972973
"32046";8900;266838;29.98179775280899
"32052";5130;115464;22.507602339181286
"32053";3140;69694;22.195541401273886
"32054";9240;238927;25.857900432900433
"32055";13500;330516;24.482666666666667
"32058";3190;76821;24.081818181818182
"32059";2450;61385;25.055102040816326
"32060";17320;446193;25.761720554272518
"32061";300;7460;24.866666666666667
"32062";2250;59753;26.55688888888889
"32063";12490;351148;28.11433146517214
"32064";6000;132237;22.0395
"32065";37830;1155685;30.54943166798837
"32066";4600;104692;22.75913043478261
"32068";53910;1554539;28.835818957521795
"32071";3220;78810;24.475155279503106
"32073";38490;1218288;31.65206547155105
"32080";20370;1479239;72.61850760922925
"32081";27360;1780257;65.06787280701755
"32082";30150;4655591;154.4142951907131
"32083";1780;29096;16.34606741573034
"32084";29430;1183589;40.21709140332994
"32086";29640;1109987;37.448954116059376
"32087";3940;86526;21.960913705583756
"32091";13140;321654;24.478995433789954
"32092";46750;2258329;48.30650267379679
"32094";2400;61805;25.752083333333335
"32095";18490;1040398;56.26814494321255
"32096";2280;54660;23.973684210526315
"32097";22690;750324;33.068488320846186
"32102";1990;58604;29.44924623115578
"32110";7710;207970;26.974059662775616
"32112";5900;115338;19.548813559322035
"32113";5510;136941;24.85317604355717
"32114";22730;489682;21.54342278926529
"32117";22740;519668;22.85259454705365
"32118";14120;796783;56.42939093484419
"32119";18180;515634;28.36270627062706
"32124";7000;372254;53.17914285714286
"32127";25700;1146774;44.62155642023346
"32128";19920;998022;50.10150602409639
"32129";18690;524210;28.047619047619047
"32130";5110;141140;27.620352250489237
"32131";3870;132268;34.17777777777778
"32132";6590;203661;30.904552352048558
"32134";6120;153137;25.02238562091503
"32136";7890;449184;56.93079847908745
"32137";43610;2410692;55.27842238018803
"32139";830;19606;23.62168674698795
"32140";1410;38893;27.58368794326241
"32141";16050;477923;29.777133956386294
"32145";5160;126777;24.56918604651163
"32148";8410;161139;19.160404280618312
"32159";25090;947204;37.752251893184535
"32162";47200;2695889;57.116292372881354
"32164";46280;1265795;27.350799481417457
"32168";27000;1226170;45.4137037037037
"32169";9310;877546;94.25843179377014
"32174";47760;2105727;44.089761306532665
"32176";12580;839033;66.69578696343402
"32177";20090;469069;23.348382279741166
"32179";6690;163775;24.480568011958148
"32180";3550;82521;23.245352112676056
"32181";2170;44556;20.532718894009218
"32187";1660;44986;27.1
